"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 18 14:56:02 GMT 2023","Wed Jan 18 14:56:04 GMT 2023","2200","chromium","Right clicking on element.spec.js","","","","Alert populates when user right-clicks on the element",""
"passed","Wed Jan 18 14:55:27 GMT 2023","Wed Jan 18 14:55:37 GMT 2023","9897","Microsoft Edge","Adding and Removing Elements.spec.js","","","","Internet | Add/Remove Elements | Elements can be successfully removed from the webpage",""
"passed","Wed Jan 18 14:56:22 GMT 2023","Wed Jan 18 14:56:26 GMT 2023","3973","firefox","Dealing with Checkboxes.spec.js","","","","Can check second checkbox ",""
"passed","Wed Jan 18 14:56:49 GMT 2023","Wed Jan 18 14:56:54 GMT 2023","4853","webkit","Basic Auth - Dealing with Alerts.spec.js","","","","should trigger an alert",""
"passed","Wed Jan 18 14:56:30 GMT 2023","Wed Jan 18 14:56:33 GMT 2023","3196","firefox","Right clicking on element.spec.js","","","","Correct page displays",""
"passed","Wed Jan 18 14:56:06 GMT 2023","Wed Jan 18 14:56:15 GMT 2023","9323","firefox","Adding and Removing Elements.spec.js","","","","Internet | Add/Remove Elements | Elements can be successfully removed from the webpage",""
"passed","Wed Jan 18 14:56:41 GMT 2023","Wed Jan 18 14:56:50 GMT 2023","8787","webkit","Adding and Removing Elements.spec.js","","","","Internet | Add/Remove Elements | Elements can be successfully added on the webpage",""
"passed","Wed Jan 18 14:56:00 GMT 2023","Wed Jan 18 14:56:02 GMT 2023","2447","chromium","Dealing with Checkboxes.spec.js","","","","Page returns to the original state when reloaded - no checkboxes checked ",""
"passed","Wed Jan 18 14:56:55 GMT 2023","Wed Jan 18 14:56:59 GMT 2023","3718","webkit","Basic Auth - Dealing with Alerts.spec.js","","","","should trigger an alert with a prompt - accept",""
"passed","Wed Jan 18 14:56:58 GMT 2023","Wed Jan 18 14:57:03 GMT 2023","4754","webkit","Dealing with Checkboxes.spec.js","","","","Can check first checkbox ",""
"passed","Wed Jan 18 14:57:07 GMT 2023","Wed Jan 18 14:57:10 GMT 2023","3499","webkit","Right clicking on element.spec.js","","","","Correct page displays",""
"passed","Wed Jan 18 14:55:40 GMT 2023","Wed Jan 18 14:55:42 GMT 2023","2408","Microsoft Edge","Dealing with Checkboxes.spec.js","","","","Can check first checkbox ",""
